attended req [603, 660, 622, 576, 618, 582, 595, 574, 592, 596, 572, 558, 630, 621, 626, 585, 587, 621, 574, 578, 603, 628, 616, 598, 578, 609, 583, 608, 637, 600, 563, 582, 556, 604, 611, 593, 593, 647, 593, 619, 628, 592, 609, 545, 599, 606, 602, 590, 608, 568, 605, 644, 563, 625, 590, 591, 619, 574, 599, 582, 600, 606, 609, 610, 577, 588, 617, 612, 633, 591, 618, 611, 656, 536, 586, 580, 597, 585, 560, 594, 584, 569, 578, 608, 641, 656, 605, 562, 602, 619, 598, 652, 608, 618, 581, 580, 556, 630, 613, 633, 590, 634, 599, 598, 552, 560, 587, 618, 599, 579, 573, 589, 595, 612, 597, 648, 592, 633, 641, 629, 614, 616, 618, 618, 661, 607, 619, 596, 608, 601, 625, 600, 593, 577, 614, 612, 579, 602, 596, 609, 571, 601, 595, 647, 597, 599, 566, 641, 581, 649, 603, 553, 623, 590, 592, 625, 600, 582, 570, 574, 575, 617, 610, 623, 608, 585, 587, 583, 614, 576, 618, 591, 594, 580, 577, 624, 636, 622, 577, 570, 638, 582, 594, 603, 623, 612, 597, 595, 565, 606, 568, 592, 599, 614, 553, 636, 589, 563, 582, 589]

accepted req [490, 543, 526, 484, 505, 508, 505, 508, 502, 501, 507, 472, 529, 511, 525, 504, 513, 512, 493, 489, 504, 499, 509, 489, 501, 492, 483, 507, 509, 495, 477, 501, 475, 509, 506, 473, 461, 529, 474, 493, 502, 448, 493, 444, 468, 482, 480, 474, 459, 453, 453, 461, 445, 480, 447, 463, 462, 442, 424, 433, 465, 447, 447, 446, 394, 399, 421, 411, 413, 411, 418, 431, 407, 384, 382, 383, 362, 371, 377, 353, 385, 353, 371, 361, 351, 404, 386, 372, 372, 382, 362, 335, 363, 358, 308, 307, 316, 363, 345, 319, 307, 351, 316, 308, 290, 283, 312, 304, 353, 301, 272, 304, 330, 342, 293, 309, 291, 307, 334, 315, 292, 326, 286, 323, 289, 310, 286, 296, 319, 320, 292, 312, 321, 298, 327, 318, 302, 304, 285, 274, 309, 321, 307, 297, 302, 291, 295, 302, 306, 325, 291, 252, 280, 306, 274, 320, 314, 313, 298, 307, 300, 298, 307, 278, 315, 283, 275, 287, 302, 273, 288, 292, 270, 302, 274, 320, 258, 300, 271, 268, 314, 285, 270, 277, 237, 248, 276, 270, 252, 255, 265, 264, 273, 297, 260, 243, 266, 251, 268, 248]

terminated_req [474, 525, 502, 465, 489, 492, 486, 484, 477, 479, 486, 452, 505, 487, 504, 481, 494, 493, 472, 465, 482, 474, 488, 471, 478, 470, 461, 477, 486, 475, 456, 483, 459, 486, 484, 451, 447, 514, 457, 470, 487, 429, 472, 428, 443, 458, 464, 455, 433, 438, 439, 447, 429, 460, 431, 442, 441, 430, 405, 414, 449, 424, 425, 427, 380, 385, 406, 399, 396, 397, 404, 414, 386, 373, 372, 365, 345, 360, 365, 337, 373, 336, 354, 347, 335, 385, 369, 366, 356, 365, 354, 320, 357, 347, 296, 296, 303, 343, 336, 304, 288, 340, 302, 296, 281, 272, 306, 290, 336, 289, 264, 287, 313, 325, 276, 301, 277, 290, 321, 304, 284, 318, 271, 310, 277, 300, 271, 281, 310, 306, 278, 297, 311, 287, 307, 308, 288, 294, 271, 265, 298, 304, 294, 283, 286, 282, 286, 293, 297, 313, 277, 241, 264, 296, 265, 310, 300, 301, 285, 295, 289, 288, 295, 268, 305, 273, 268, 276, 286, 267, 280, 278, 260, 290, 263, 301, 247, 286, 263, 255, 297, 262, 266, 262, 229, 239, 268, 259, 242, 248, 258, 260, 267, 283, 249, 231, 258, 241, 261, 233]

lost_r_issue [109, 80, 49, 64, 58, 46, 60, 45, 61, 61, 39, 50, 51, 53, 57, 40, 38, 52, 47, 45, 64, 53, 50, 47, 37, 61, 72, 51, 50, 47, 38, 47, 44, 46, 55, 38, 71, 49, 46, 53, 53, 42, 49, 52, 60, 39, 74, 46, 64, 67, 47, 68, 49, 41, 70, 44, 62, 51, 73, 71, 36, 53, 76, 60, 65, 53, 63, 74, 70, 84, 84, 83, 71, 53, 67, 95, 49, 79, 73, 105, 91, 91, 61, 84, 48, 76, 94, 44, 88, 98, 103, 123, 94, 110, 55, 70, 65, 74, 88, 127, 67, 83, 93, 61, 56, 143, 76, 134, 91, 76, 93, 104, 68, 77, 95, 154, 70, 112, 108, 121, 118, 107, 123, 103, 84, 85, 42, 73, 83, 86, 168, 96, 109, 155, 168, 67, 62, 115, 54, 114, 66, 72, 122, 82, 98, 66, 86, 50, 68, 111, 90, 142, 171, 129, 85, 146, 90, 75, 80, 77, 46, 140, 82, 91, 92, 92, 101, 111, 86, 91, 87, 117, 119, 49, 203, 122, 93, 92, 94, 129, 74, 193, 73, 103, 137, 62, 84, 76, 45, 48, 70, 109, 116, 89, 37, 183, 82, 92, 54, 55]

list_lost_resc [4, 37, 47, 28, 55, 28, 30, 21, 29, 34, 26, 36, 50, 57, 44, 41, 36, 57, 34, 44, 35, 76, 57, 62, 40, 56, 28, 50, 78, 58, 48, 34, 37, 49, 50, 82, 61, 69, 73, 73, 73, 102, 67, 49, 71, 85, 48, 70, 85, 48, 105, 115, 69, 104, 73, 84, 95, 81, 102, 78, 99, 106, 86, 104, 118, 136, 133, 127, 150, 96, 116, 97, 178, 99, 137, 102, 186, 135, 110, 136, 108, 125, 146, 163, 242, 176, 125, 146, 142, 139, 133, 194, 151, 150, 218, 203, 175, 193, 180, 187, 216, 200, 190, 229, 206, 134, 199, 180, 155, 202, 208, 181, 197, 193, 209, 185, 231, 214, 199, 193, 204, 183, 209, 192, 288, 212, 291, 227, 206, 195, 165, 192, 163, 124, 119, 227, 215, 183, 257, 221, 196, 208, 166, 268, 197, 242, 185, 289, 207, 213, 222, 159, 172, 155, 233, 159, 196, 194, 192, 190, 229, 179, 221, 254, 201, 210, 211, 185, 226, 212, 243, 182, 205, 229, 100, 182, 285, 230, 212, 173, 250, 104, 251, 223, 249, 302, 237, 249, 268, 303, 233, 219, 210, 228, 256, 210, 241, 220, 260, 286]

